"NO","PACKAGING TYPE","WORK ORDER","PO NO.","ITEM NO.","BRAND","COMPANY","CUSTOMER GROUP","BATERY TYPE","CELL GRADE","ORDER QTY","CR DATE","PRICE","STANDARD PRICE","TERM","CURRENCY","SALES AMOUNT","QTY WH","QTY IN TRANSIT","SALES MOUNT","JAN QTY","JAN AMT","FEB QTY","FEB AMT","MAR QTY","MAR AMT","APR QTY","APR AMT","MAY QTY","MAY AMT","JUN QTY","JUN AMT","JUL QTY","JUL AMT","AUG QTY","AUG AMT","SEP QTY","SEP AMT","OCT QTY","OCT AMT","NOV AMT","NOV AMT","DES AMT","DES AMT"
"33","AUTO SHRINK","","'7MOQVLQG","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","13,824","15-MAR-18","0.1071","0.1026","FOB","USD","1,481","0","0","3","0","0","27,648","2,837","27,648","2,837","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","AUTO SHRINK","","'7Q7M9CWO","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","55,296","08-MAR-18","0.1071","0.1026","FOB","USD","5,922","0","0","3","0","0","55,296","5,673","55,296","5,673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","AUTO SHRINK","","'7SD9X1XO","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","13,824","09-MAR-18","0.1071","0.1026","FOB","USD","1,481","0","0","3","0","0","13,824","1,418","13,824","1,418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","AUTO SHRINK","","'88UYHWUU","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","13,824","14-MAR-18","0.1071","0.1026","FOB","USD","1,481","0","0","3","0","0","13,824","1,418","13,824","1,418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","AUTO SHRINK","","'8CS1SZEU","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","27,648","07-MAR-18","0.1071","0.1026","FOB","USD","2,961","0","0","3","0","0","27,648","2,837","27,648","2,837","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","AUTO SHRINK","","'8RG9UVWW","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","15,552","12-MAR-18","0.1071","0.1026","FOB","USD","1,666","0","0","3","0","0","15,552","1,596","15,552","1,596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","AUTO SHRINK","","'MAR O/F","88110","AMAZON BASICS US LR6 (4SX2)","FDK CORPORATION","OVERSEAS - AMAZON USA","LR6","G07NC","40,000","21-MAR-18","0.1276","0.11","FOB","USD","5,104","0","0","3","40,000","4,400","0","0","40,000","4,400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","AUTO SHRINK","","'MAR O/F","88682","AMAZON BASICS EU LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON USA","LR6","G07NC","387,072","21-MAR-18","0.1071","0.1026","FOB","USD","41,455","0","0","3","0","0","387,072","39,714","387,072","39,714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","AUTO SHRINK","","'MAR O/F","88802","AMAZON BASICS EU LR6 (4SX5)","FDK LANKA (PVT) LTD.","OVERSEAS - AMAZON EU","LR6","G07NC","99,840","21-MAR-18","0.1083","0.1083","FOB","USD","10,813","0","0","3","0","0","0","0","99,840","10,813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","AUTO SHRINK","","'MAR O/F","88803","AMAZON BASICS JP LR6 (4SX5)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","66,560","21-MAR-18","0.1083","0.1083","FOB","USD","7,208","0","0","3","0","0","0","0","66,560","7,208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
